37987	354460
37988	354460
37989	354460
37990	354460
37991	354460
37992	354460
37993	574800
37994	574800
37995	574800
37996	574800
37997	574800
37998	574800
37999	191600
38000	191600
38001	191600
38002	191600
38003	191600
38004	191600
38005	191600
38006	268240
38007	268240
38008	268240
38009	268240
38010	268240
38011	268240
38012	268240
38013	431100
38014	431100
38015	431100
38016	431100
38017	431100
38018	431100
38019	431100
38020	373620
38021	373620
38022	373620
38023	373620
38024	373620
38025	373620
38026	373620
38027	249080
38028	249080
38029	249080
38030	249080
38031	249080
38032	249080
38033	249080
38034	258660
38035	258660
38036	258660
38037	258660
38038	258660
38039	258660
38040	258660
38041	220340
38042	220340
38043	220340
38044	220340
38045	220340
38046	220340
38047	220340
38048	316140
38049	316140
38050	316140
38051	316140
38052	316140
38053	316140
38054	316140
38055	201180
38056	201180
38057	201180
38058	201180
38059	201180
38060	201180
38061	201180
38062	201180
38063	201180
38064	201180
38065	201180
38066	201180
38067	201180
38068	201180
38069	201180
38070	201180
38071	201180
38072	201180
38073	201180
38074	201180
38075	201180
38076	392780
38077	392780
38078	392780
38079	392780
38080	392780
38081	392780
38082	392780
38083	1197500
38084	1197500
38085	1197500
38086	1197500
38087	1197500
38088	1197500
38089	1197500
38090	1197500
38091	1197500
38092	1197500
38093	1197500
38094	1197500
38095	1197500
38096	1197500
38097	325720
38098	325720
38099	325720
38100	325720
38101	325720
38102	325720
38103	325720
38104	431100
38105	431100
38106	431100
38107	431100
38108	431100
38109	431100
38110	431100
38111	431100
38112	431100
38113	431100
38114	431100
38115	431100
38116	431100
38117	431100
38118	440680
38119	440680
38120	440680
38121	440680
38122	440680
38123	440680
38124	440680
38125	296980
38126	296980
38127	296980
38128	296980
38129	296980
38130	296980
38131	296980
38132	526900
38133	526900
38134	526900
38135	526900
38136	526900
38137	526900
38138	526900
38139	507740
38140	507740
38141	507740
38142	507740
38143	507740
38144	507740
38145	507740
38146	335300
38147	335300
38148	335300
38149	335300
38150	335300
38151	335300
38152	335300
38153	335300
38154	689760
38155	689760
38156	689760
38157	689760
38158	689760
38159	689760
38160	689760
38161	689760
38162	689760
38163	689760
38164	689760
38165	689760
38166	689760
38167	689760
38168	689760
38169	689760
38170	689760
38171	689760
38172	689760
38173	689760
38174	689760
38175	689760
38176	689760
38177	689760
38178	689760
38179	689760
38180	689760
38181	689760
38182	689760
38183	689760
38184	689760
38185	689760
38186	689760
38187	689760
38188	689760
38189	689760
38190	689760
38191	689760
38192	689760
38193	689760
38194	689760
38195	689760
38196	689760
38197	689760
38198	689760
38199	689760
38200	689760
38201	689760
38202	689760
38203	689760
38204	689760
38205	689760
38206	689760
38207	689760
38208	2615340
38209	2615340
38210	2615340
38211	2615340
38212	2615340
38213	2615340
38214	2615340
38215	2615340
38216	2615340
38217	2615340
38218	2615340
38219	2615340
38220	2615340
38221	2615340
38222	2615340
38223	2615340
38224	364040
38225	364040
38226	364040
38227	364040
38228	364040
38229	364040
38230	785560
38231	785560
38232	785560
38233	785560
38234	785560
38235	785560
38236	785560
38237	2634500
38238	2634500
38239	2634500
38240	2634500
38241	2634500
38242	2634500
38243	507740
38244	507740
38245	507740
38246	507740
38247	507740
38248	507740
38249	507740
38250	507740
38251	708920
38252	708920
38253	708920
38254	708920
38255	708920
38256	708920
38257	708920
38258	708920
38259	708920
