38182	20.4	33.7	12.4
38183	19.3	31.3	12.4
38184	19.8	35	10.8
38185	21.3	34.7	14.1
38186	19.3	26	13.9
38187	19.3	27.9	14.9
38188	NaN	NaN	NaN
38189	19.1	33.2	10.9
38190	21.2	37.7	11.4
38191	23.3	39.6	12.9
38192	23.8	39	14.5
38193	21.5	33.8	14.5
38194	19.1	33.1	10
38195	20.2	35.1	11.7
38196	21.1	35	13
38197	20.7	34.3	12.9
38198	20.2	32.2	12.9
38199	20.2	32.8	13
38200	20.4	32.3	13.2
38201	19.1	29	13.7
38202	19.1	29.2	13.9
38203	17.7	29	11.2
38204	17	25	12.8
38205	14.1	18.3	11.9
38206	16.4	27.6	9
38207	19.9	34.6	9.8
38208	21.5	35.5	12.3
38209	22.1	36	13.8
38210	22.5	34.7	14.5
38211	22.3	34.4	14.9
38212	22.4	33.5	15.4
38213	22.2	32.5	16.7
38214	20.7	31.8	13.8
38215	20.5	32	14.4
38216	19.3	31.9	11.5
38217	20	31.3	12
38218	20.7	32	13.5
38219	20.5	32	14.2
38220	18.6	27.2	11.5
38221	14.7	16.6	11.9
38222	13.9	16.7	11.7
38223	14	16.2	13.1
38224	13.7	17.3	12.6
38225	14.1	16.6	12.4
38226	14.9	19.3	12.4
38227	15.9	21.8	11.4
38228	16.7	24.1	11.3
38229	17.5	24.3	11.7
38230	18.5	24.6	13.5
38231	14.5	18.3	9.8
38232	10.7	14.4	7.8
38233	12.6	18.6	9.3
38234	13.7	19.5	9.4
38235	13	19.6	7.4
38236	13.5	21.2	7.5
38237	13.2	19	7.9
38238	13.9	20.4	8.6
38239	14.5	19.5	11.3
38240	15.1	21.5	9.5
38241	16.3	18.9	14.5
38242	13.4	15	11.8
38243	12.1	13.5	11.3
38244	12.8	15.3	10.8
38245	14	17.5	11.9
38246	13.2	16	11.1
38247	11.7	13.2	8.8
38248	9.2	12.1	8.1
38249	9.3	13.8	7.4
38250	9.8	12.7	5.9
38251	8.8	13.8	3.4
38252	12.1	17.7	6.3
38253	12.9	17.8	7.8
38254	14.1	19.2	8.7
38255	14.2	19.4	9.6
38256	15.3	17.3	13.5
38257	15	19.4	12
38258	14.6	19.4	9.5
38259	14.1	16.6	11.1
38260	12.8	16	10.6
38261	12	16.9	7.1
38262	12.2	17.6	7.3
38263	12.2	17.9	7.3
38264	12.2	18.5	6.7
38265	12.1	17.4	7.3
38266	14.4	17.3	12.3
38267	15.1	17.4	12.3
38268	13.5	19.1	10.1
38269	10.9	13.4	9.1
38270	10.5	13.9	8
38271	10	15.7	5
38272	11.8	17.8	6.8
38273	12.1	16.9	8.6
38274	11.6	17.2	6.5
38275	11.4	16.1	7.2
38276	11.4	14.3	8.3
38277	9.3	11.9	6.9
38278	8.5	9.9	7.3
38279	9.9	12.7	7.2
38280	10.5	12.5	8.8
38281	10	11	8.1
38282	9.9	11.5	8.1
38283	8.5	11	6.9
38284	6.8	8.7	3.2
38285	6.5	9.3	3.3
38286	7.9	10	6.4
38287	8.3	10.9	6.4
38288	8.7	10.9	7.5
38289	8.1	10.4	6.5
38290	7.3	9	5.9
38291	5.7	8.5	2.1
38292	6.7	9.7	2.5
38293	9.3	11.9	5.6
38294	5.2	7.9	1.8
38295	3.7	8.1	0.9
38296	4.8	10.8	0.7
38297	5	10.9	0.9
38298	7.3	13.3	3.5
38299	6.4	11.6	2.3
38300	8.4	11.2	5.9
38301	9	12.6	5.7
38302	7.2	11.9	4.2
38303	6.9	11.4	2.4
38304	8.4	11.8	5.1
38305	6.6	10.9	2.9
38306	7.8	10.7	4.7
38307	8.8	11.3	6.4
38308	6.7	10	3.7
38309	6	8.3	3.5
38310	4.5	7.1	0.5
38311	0.9	3.7	-0.8
38312	0.7	4	-1.2
38313	3.2	8	0
38314	6	8	3.1
38315	8.9	11.3	7.4
38316	8.2	10.9	5.6
38317	5.2	6.6	4
38318	3.7	5.2	2
38319	1.3	2.5	-0.8
38320	-0.1	2	-2
38321	1.8	3.2	0.9
38322	NaN	NaN	NaN
38323	0	2.6	-1.5
38324	0.8	4.2	-0.8
38325	1.1	3.6	-1.1
38326	1.8	3.1	0.6
38327	-0.1	0.8	-0.3
38328	0.2	0.9	-0.3
38329	4	5.2	0.6
38330	5.3	6.6	3.5
38331	7.3	9.2	5.8
38332	7.9	9.9	5.3
38333	4.8	6.7	3.1
38334	6.3	8.6	3.2
38335	7.3	8.5	4.8
38336	3.1	5.7	0.5
38337	2.5	6.5	-0.3
38338	4.5	8.1	2
38339	4.7	9.6	1.6
38340	4.1	7.2	1.6
