37987	31.8	4.76	0.11836	1
37988	10.4	4.21	0.30711	1
37989	11.2	3.6	0.21831	1
37990	8.4	3.04	0.34544	1
37991	1	2.68	0.40907	1
37992	15.7	2.39	0.45374	1
37993	19.8	2.34	0.26737	1
37994	21.3	7.85	0.32125	1
37995	1	15.57	0.42509	1
37996	1.5	20.01	0.40162	1
37997	0	16.92	0.45878	1
37998	1.3	13.24	0.45601	1
37999	0.8	11.95	0.54727	1
38000	11.4	12.17	0.49599	1
38001	8.1	14.35	0.50915	1
38002	0.5	16.82	0.63026	1
38003	0	13.92	0.69876	1
38004	13	10.17	0.65915	1
38005	16.3	9.21	0.60998	1
38006	0	13.56	0.62593	1
38007	0	11.73	0.61914	1
38008	0	7.55	0.64987	1
38009	63.8	5.41	0.60196	1
38010	20.8	16.83	0.74831	1
38011	12.2	25.49	0.44175	1
38012	9.9	14.09	0.54832	1
38013	34.3	11.17	0.63687	1
38014	58.7	18.59	0.45466	1
38015	23.6	33.14	0.9286	1
38016	43.7	38.4	0.78799	1
38017	13.5	25.46	0.51966	1
38018	13.2	16.13	0.53584	2
38019	13.7	12.27	0.78895	2
38020	2	12.81	0.7409	2
38021	3.6	14.27	0.73303	2
38022	0	10.45	0.85568	2
38023	22.6	7.81	0.73377	2
38024	8.4	6.92	0.73706	2
38025	0	10.09	0.79524	2
38026	0	8.71	0.81634	2
38027	0	6.15	1.0883	2
38028	0	4.74	1.121	2
38029	0	3.88	1.1357	2
38030	0	3.26	0.84936	2
38031	11.4	2.84	1.0667	2
38032	3.6	2.67	1.1104	2
38033	29.2	2.93	0.94683	2
38034	31.8	6.38	0.98487	2
38035	21.8	13.88	0.92534	2
38036	3.6	15.76	1.0542	2
38037	0	15.63	1.1323	2
38038	0	10.23	1.3669	2
38039	0.8	6.61	1.3476	2
38040	4.8	4.86	1.152	2
38041	2.5	3.94	1.3168	2
38042	6.4	3.21	1.4549	2
38043	7.6	2.82	1.0519	2
38044	14.7	2.65	0.84723	2
38045	1.8	2.87	0.99276	2
38046	13.2	3.61	1.0752	2
38047	8.9	3.26	1.3224	3
38048	0	6.74	1.4337	3
38049	11.7	5.37	1.0593	3
38050	22.4	4.21	1.2552	3
38051	23.6	9.69	1.2054	3
38052	1.3	11.81	1.5297	3
38053	0	12.44	1.8869	3
38054	0	7.17	2.365	3
38055	0	4.81	2.1622	3
38056	0	3.58	1.9801	3
38057	0	2.86	2.433	3
38058	0	2.52	2.303	3
38059	0	2.24	2.4793	3
38060	0	2.02	2.2676	3
38061	0	1.85	2.2211	3
38062	0	1.73	2.4162	3
38063	0	1.62	2.4711	3
38064	1.3	1.53	2.0778	3
38065	0	1.44	1.6634	3
38066	0	1.35	2.8341	3
38067	0	1.21	2.8594	3
38068	0	1.11	2.7302	3
38069	0	1.05	2.0879	3
38070	9.7	1	1.2288	3
38071	17.8	1.22	1.5594	3
38072	18.5	1.43	1.411	3
38073	9.7	1.63	1.6487	3
38074	0	2.56	2.4513	3
38075	0	1.92	2.9587	3
38076	6.1	1.64	1.8725	3
38077	0	1.44	1.6827	3
38078	0	1.31	2.3208	4
38079	0	1.17	3.1982	4
38080	0	1.06	3.1908	4
38081	0	0.98	2.9104	4
38082	0	0.92	2.0289	4
38083	0	0.89	2.4563	4
38084	0	0.86	2.8941	4
38085	0	0.83	3.095	4
38086	0	0.79	3.4668	4
38087	0	0.76	3.9437	4
38088	0	0.72	4.2067	4
38089	0	0.68	3.0081	4
38090	11.2	0.66	2.2978	4
38091	26.4	0.69	1.8304	4
38092	18.3	1.04	1.9225	4
38093	9.9	1.96	1.9143	4
38094	6.1	1.98	2.1478	4
38095	5.1	2.08	1.9504	4
38096	14.7	2.19	1.8859	4
38097	32.3	2.29	1.2477	4
38098	19.3	6.27	2.019	4
38099	0	14.8	2.6785	4
38100	0	8.45	2.7209	4
38101	0	4.2	3.5188	4
38102	0	2.8	4.3423	4
38103	0	2.25	4.8672	4
38104	0	1.92	4.6187	4
38105	0	1.71	3.5512	4
38106	0	1.54	4.936	4
38107	0	1.35	5.2683	4
38108	0	1.16	5.0863	5
38109	0	1.03	5.3058	5
38110	0	0.94	4.7879	5
38111	0	0.87	2.7137	5
38112	0	0.86	3.9749	5
38113	0	0.82	3.8991	5
38114	7.9	0.82	2.9439	5
38115	4.3	0.84	2.834	5
38116	3.8	0.83	2.9417	5
38117	9.4	0.78	1.8359	5
38118	7.1	0.82	2.4519	5
38119	0	0.93	3.6559	5
38120	0	0.79	4.6552	5
38121	0	0.73	4.4566	5
38122	2.5	0.69	2.9707	5
38123	4.1	0.7	3.3711	5
38124	14.7	0.73	4.2062	5
38125	8.6	0.88	1.8264	5
38126	0	1.13	3.6027	5
38127	1.3	1.05	4.4576	5
38128	0	0.84	3.1418	5
38129	15	0.77	2.1756	5
38130	2.5	0.82	3.027	5
38131	0	1.33	5.1166	5
38132	0	0.98	5.7206	5
38133	7.4	0.81	2.898	5
38134	42.9	0.83	2.452	5
38135	26.2	3.06	2.3754	5
38136	3	11.96	2.6307	5
38137	0	8.94	3.4961	5
38138	0	4.85	4.6708	5
38139	0	2.99	5.6015	6
38140	0	2.26	5.697	6
38141	0	1.86	6.1414	6
38142	0	1.58	6.4714	6
38143	5.3	1.32	2.7588	6
38144	14.5	1.23	2.6156	6
38145	11.2	1.27	2.9979	6
38146	12.4	1.62	2.1238	6
38147	12.4	2.37	1.8333	6
38148	2.8	3.39	2.684	6
38149	0	3.69	2.6122	6
38150	0	2.7	4.5422	6
38151	2.5	2.15	4.045	6
38152	0	1.8	4.7027	6
38153	0	1.56	5.8642	6
38154	0	1.34	6.6308	6
38155	0	1.13	7.3557	6
38156	0	1	6.7896	6
38157	0	0.89	6.6502	6
38158	0	0.82	6.9612	6
38159	0	0.76	7.4113	6
38160	0	0.72	4.4395	6
38161	0	0.72	4.8522	6
38162	0	0.69	4.9925	6
38163	0	0.66	5.6543	6
38164	0	0.63	5.6471	6
38165	0	0.61	6.1783	6
